"Date","US 3M IR - NSA","CA 3M IR - NSA","UK 3M IR - NSA","GR 3M IR - NSA"
1986-01-01,7.82,10.16,12.863,4.72
1986-02-01,7.69,11.725,12.71875,4.54
1986-03-01,7.24,11.025,11.77679,4.56
1986-04-01,6.6,9.55,10.5767,4.53
1986-05-01,6.65,8.575,10.26705,4.62
1986-06-01,6.73,8.7,9.82292,4.65
1986-07-01,6.37,8.47,10.03805,4.65
1986-08-01,5.92,8.5125,9.89435,4.61
1986-09-01,5.71,8.35,10.18892,4.53
1986-10-01,5.69,8.44,11.1644,4.64
1986-11-01,5.76,8.3875,11.24609,4.73
1986-12-01,6.04,8.36,11.40421,4.84
1987-01-01,5.87,7.925,11.10085,4.54
1987-02-01,6.1,7.4375,10.89219,4.03
1987-03-01,6.17,7.175,10.0142,4.04
1987-04-01,6.52,7.62,9.83097,3.91
1987-05-01,6.99,8.25,8.86792,3.81
1987-06-01,6.94,8.4625,8.93608,3.73
1987-07-01,6.7,8.64,9.24796,3.86
1987-08-01,6.75,9.1375,10.0997,4
1987-09-01,7.37,9.36,10.19602,4.04
1987-10-01,8.02,9.1625,10.0277,4.74
1987-11-01,7.24,8.775,8.99851,3.98
1987-12-01,7.66,8.97,7.97283,3.71
1988-01-01,6.92,8.7125,8.88691,3.46
1988-02-01,6.6,8.55,9.28795,3.37
1988-03-01,6.63,8.59,8.91304,3.44
1988-04-01,6.92,8.8625,8.37426,3.43
1988-05-01,7.24,9.0375,8.06676,3.58
1988-06-01,7.51,9.37,8.97514,3.93
1988-07-01,7.94,9.4125,10.57366,4.93
1988-08-01,8.35,9.91,11.44429,5.37
1988-09-01,8.23,10.475,12.19034,5.02
1988-10-01,8.36,10.4375,12.0439,5.1
1988-11-01,8.78,10.85,12.31818,4.95
1988-12-01,9.25,11.1125,13.15767,5.39
1989-01-01,9.2,11.2875,13.16122,5.7
1989-02-01,9.51,11.5625,13.06406,6.43
1989-03-01,10.09,12.21,13.0625,6.67
1989-04-01,9.94,12.475,13.18359,6.48
1989-05-01,9.59,12.402,13.22215,7.02
1989-06-01,9.2,12.3125,14.18253,7.02
1989-07-01,8.76,12.225,13.96317,7.09
1989-08-01,8.64,12.292,13.89572,7.07
1989-09-01,8.78,12.3275,14.07217,7.41
1989-10-01,8.6,12.33,15.06818,8.13
1989-11-01,8.39,12.352,15.15412,8.29
1989-12-01,8.32,12.345,15.15179,8.11
1990-01-01,8.16,12.244,15.19837,8.3
1990-02-01,8.22,12.8425,15.14922,8.31
1990-03-01,8.35,13.3575,15.31676,8.48
1990-04-01,8.42,13.515,15.25744,8.27
1990-05-01,8.35,13.76,15.19429,8.33
1990-06-01,8.23,13.8175,15.01302,8.3
1990-07-01,8.1,13.675,14.9858,8.26
1990-08-01,7.97,13.256,15.01664,8.45
1990-09-01,8.06,12.755,14.95117,8.47
1990-10-01,8.06,12.578,14.06216,8.6
1990-11-01,8.03,12.405,13.68111,8.88
1990-12-01,7.82,12.05,13.8817,9.21
1991-01-01,7.17,11.366,14.01087,9.35
1991-02-01,6.52,10.52,13.29532,9.08
1991-03-01,6.45,9.9575,12.4628,9.09
1991-04-01,6.06,9.7075,12.01492,9.18
1991-05-01,5.91,9.198,11.56522,9.08
1991-06-01,6.07,8.8325,11.29844,9.06
1991-07-01,5.98,8.76,11.12976,9.15
1991-08-01,5.65,8.7225,10.93324,9.31
1991-09-01,5.47,8.59,10.33408,9.27
1991-10-01,5.33,8.366,10.45823,9.38
1991-11-01,4.94,7.8475,10.52977,9.43
1991-12-01,4.47,7.455,10.84837,9.58
1992-01-01,4.05,7.31,10.71773,9.53
1992-02-01,4.07,7.2525,10.42031,9.61
1992-03-01,4.25,7.54,10.67045,9.7
1992-04-01,4,7.118,10.65483,9.75
1992-05-01,3.82,6.6175,10.109,9.79
1992-06-01,3.86,6.0325,10.05078,9.75
1992-07-01,3.37,5.574,10.20245,9.78
1992-08-01,3.31,5.1725,10.4122,9.88
1992-09-01,3.13,5.038,10.03729,9.5
1992-10-01,3.26,7.6375,8.39347,8.94
1992-11-01,3.58,6.9325,7.26711,8.94
1992-12-01,3.48,7.9,7.23132,9.04
1993-01-01,3.19,6.9925,6.98363,8.59
1993-02-01,3.12,6.395,6.23086,8.4
1993-03-01,3.11,5.61,6.03193,7.98
1993-04-01,3.09,5.275,6.02379,7.92
1993-05-01,3.1,5.325,6.04427,7.51
1993-06-01,3.21,4.88,5.9517,7.6
1993-07-01,3.16,4.4725,6.00355,7.24
1993-08-01,3.14,4.3075,5.91406,6.61
1993-09-01,3.12,4.786,5.95987,6.63
1993-10-01,3.24,4.7375,5.81362,6.64
1993-11-01,3.35,4.3625,5.6076,6.31
1993-12-01,3.26,4.092,5.38281,6.11
1994-01-01,3.15,3.8725,5.44345,5.89
1994-02-01,3.43,3.805,5.26328,5.91
1994-03-01,3.77,4.206,5.22758,5.84
1994-04-01,4.01,5.8875,5.28981,5.59
1994-05-01,4.51,6.285,5.22727,5.2
1994-06-01,4.52,6.394,5.18786,5.07
1994-07-01,4.73,6.3625,5.26637,4.97
1994-08-01,4.81,5.68,5.57745,5
1994-09-01,5.03,5.6425,5.76811,5.07
1994-10-01,5.51,5.44,5.9747,5.22
1994-11-01,5.79,5.68,6.12536,5.21
1994-12-01,6.29,6.5975,6.42685,5.4
1995-01-01,6.24,7.838,6.63778,5.16
1995-02-01,6.16,8.118,6.80391,5.1
1995-03-01,6.15,8.314782609,6.72554,5.07
1995-04-01,6.11,8.148421053,6.73633,4.68
1995-05-01,6.02,7.561363636,6.77616,4.59
1995-06-01,5.9,7.047727273,6.71484,4.53
1995-07-01,5.77,6.666,6.87686,4.56
1995-08-01,5.77,6.586818182,6.87568,4.46
1995-09-01,5.73,6.6875,6.79539,4.19
1995-10-01,5.79,6.697619048,6.81783,4.09
1995-11-01,5.74,6.008095238,6.72088,4.01
1995-12-01,5.62,5.895263158,6.54985,3.94
1996-01-01,5.39,5.546818182,6.44718,3.61
1996-02-01,5.15,5.222857143,6.24554,3.35
1996-03-01,5.29,5.214761905,6.13988,3.36
1996-04-01,5.36,5.008571429,6.08452,3.33
1996-05-01,5.36,4.809090909,6.11651,3.29
1996-06-01,5.46,4.849,5.93477,3.39
1996-07-01,5.53,4.732727273,5.82167,3.38
1996-08-01,5.4,4.267619048,5.83647,3.29
1996-09-01,5.51,4.0785,5.86365,3.12
1996-10-01,5.41,3.516818182,6.01953,3.12
1996-11-01,5.38,3.0195,6.38579,3.19
1996-12-01,5.44,3.1225,6.43164,3.23
1997-01-01,5.43,3.152727273,6.41491,3.14
1997-02-01,5.37,3.116,6.28848,3.19
1997-03-01,5.53,3.2175,6.30413,3.26
1997-04-01,5.71,3.460454545,6.45437,3.23
1997-05-01,5.7,3.321904762,6.53214,3.17
1997-06-01,5.66,3.265238095,6.66462,3.14
1997-07-01,5.6,3.531818182,7.04144,3.14
1997-08-01,5.6,3.638,7.24349,3.26
1997-09-01,5.6,3.626666667,7.29687,3.31
1997-10-01,5.65,3.799545455,7.35615,3.58
1997-11-01,5.74,3.994736842,7.62617,3.74
1997-12-01,5.8,4.567142857,7.7179,3.74
1998-01-01,5.54,4.651904762,7.5854,3.57
1998-02-01,5.54,4.9775,7.54395,3.51
1998-03-01,5.58,4.874090909,7.56676,3.52
1998-04-01,5.58,4.898095238,7.53533,3.63
1998-05-01,5.59,5.02,7.4881,3.63
1998-06-01,5.6,5.016818182,7.71396,3.56
1998-07-01,5.59,5.051363636,7.80622,3.54
1998-08-01,5.58,5.3055,7.72824,3.5
1998-09-01,5.41,5.60047619,7.46768,3.49
1998-10-01,5.21,5.275238095,7.22061,3.57
1998-11-01,5.24,5.147,6.97448,3.63
1998-12-01,5.14,5.002857143,6.46034,3.38
1999-01-01,4.89,5.0045,5.92171,3.1321
1999-02-01,4.9,5.0335,5.53197,3.0934
1999-03-01,4.91,5.057391304,5.42287,3.0467
1999-04-01,4.88,4.716666667,5.31773,2.6965
1999-05-01,4.92,4.6155,5.34875,2.579
1999-06-01,5.13,4.815454545,5.22114,2.6267
1999-07-01,5.24,4.792857143,5.16688,2.6765
1999-08-01,5.41,4.924761905,5.25409,2.695
1999-09-01,5.5,4.83047619,5.4107,2.7267
1999-10-01,6.13,5.014,6.02564,3.3757
1999-11-01,6,5.040952381,5.8725,3.4677
1999-12-01,6.05,5.135238095,6.05531,3.446
2000-01-01,5.95,5.2605,6.13632,3.3431
2000-02-01,6.01,5.312380952,6.23781,3.5368
2000-03-01,6.14,5.405652174,6.22838,3.747
2000-04-01,6.28,5.516315789,6.29647,3.9253
2000-05-01,6.71,5.861818182,6.30356,4.362
2000-06-01,6.73,5.917272727,6.22682,4.5017
2000-07-01,6.67,5.8785,6.19247,4.5829
2000-08-01,6.61,5.892727273,6.21754,4.7771
2000-09-01,6.6,5.8515,6.20569,4.8528
2000-10-01,6.67,5.844761905,6.16274,5.0413
2000-11-01,6.65,5.876666667,6.08629,5.092
2000-12-01,6.45,5.763684211,5.95539,4.9392
2001-01-01,5.62,5.456363636,5.84578,4.7707
2001-02-01,5.26,5.2075,5.75655,4.7558
2001-03-01,4.89,4.748181818,5.55126,4.7086
2001-04-01,4.53,4.6025,5.40449,4.682
2001-05-01,4.02,4.445909091,5.24858,4.6367
2001-06-01,3.74,4.41952381,5.25854,4.4536
2001-07-01,3.66,4.304285714,5.25436,4.4671
2001-08-01,3.48,4.062727273,4.99658,4.3535
2001-09-01,2.87,3.497894737,4.72946,3.9829
2001-10-01,2.31,2.896363636,4.42821,3.5999
2001-11-01,2.03,2.284761905,3.99675,3.3857
2001-12-01,1.83,2.117368421,4.0506,3.3449
2002-01-01,1.74,2.014090909,4.04677,3.3388
2002-02-01,1.82,2.116,4.05268,3.3571
2002-03-01,1.91,2.2405,4.13055,3.3908
2002-04-01,1.87,2.402727273,4.17319,3.4069
2002-05-01,1.82,2.610909091,4.1537,3.4671
2002-06-01,1.81,2.789,4.17758,3.464
2002-07-01,1.79,2.875909091,4.06054,3.41
2002-08-01,1.73,2.945714286,3.98654,3.3519
2002-09-01,1.76,2.9155,3.98872,3.3101
2002-10-01,1.73,2.880909091,3.96401,3.2613
2002-11-01,1.39,2.836,3.97142,3.1241
2002-12-01,1.34,2.857,4.01777,2.941
2003-01-01,1.29,2.87,3.98263,2.8318
2003-02-01,1.27,2.921,3.75425,2.6875
2003-03-01,1.23,3.201904762,3.65503,2.53
2003-04-01,1.24,3.301904762,3.64598,2.5333
2003-05-01,1.22,3.322857143,3.63252,2.4005
2003-06-01,1.04,3.215714286,3.63966,2.1519
2003-07-01,1.05,3.010454545,3.49022,2.13
2003-08-01,1.08,2.854210526,3.52249,2.1404
2003-09-01,1.08,2.712857143,3.6967,2.1473
2003-10-01,1.1,2.695,3.80338,2.1436
2003-11-01,1.11,2.76,3.98043,2.159
2003-12-01,1.1,2.707142857,4.01864,2.1463
2004-01-01,1.06,2.508095238,4.05531,2.0895
2004-02-01,1.05,2.323,4.16654,2.0705
2004-03-01,1.05,2.159565217,4.29673,2.0288
2004-04-01,1.08,2.068571429,4.39472,2.0488
2004-05-01,1.2,2.0675,4.52872,2.0859
2004-06-01,1.46,2.101818182,4.78974,2.1127
2004-07-01,1.57,2.105238095,4.85702,2.116
2004-08-01,1.68,2.145238095,4.96284,2.1143
2004-09-01,1.86,2.412857143,4.9469,2.1186
2004-10-01,2.04,2.575,4.90071,2.1473
2004-11-01,2.26,2.703809524,4.88359,2.1703
2004-12-01,2.45,2.571904762,4.87103,2.1732
2005-01-01,2.61,2.564,4.87316,2.1454
2005-02-01,2.77,2.5825,4.89069,2.1383
2005-03-01,2.97,2.625909091,4.98736,2.1372
2005-04-01,3.09,2.584761905,4.94336,2.1372
2005-05-01,3.22,2.586190476,4.89375,2.1256
2005-06-01,3.38,2.583181818,4.84144,2.111
2005-07-01,3.57,2.631,4.65794,2.1194
2005-08-01,3.77,2.77,4.59465,2.1325
2005-09-01,3.87,2.89,4.59686,2.1391
2005-10-01,4.13,3.099,4.58701,2.1966
2005-11-01,4.31,3.295714286,4.61847,2.3609
2005-12-01,4.45,3.469,4.63732,2.4729
2006-01-01,4.56,3.618571429,4.60368,2.5117
2006-02-01,4.72,3.763,4.58199,2.6004
2006-03-01,4.88,3.940869565,4.58741,2.7226
2006-04-01,5.03,4.122631579,4.6296,2.7938
2006-05-01,5.15,4.258636364,4.7015,2.889
2006-06-01,5.35,4.417727273,4.73498,2.9857
2006-07-01,5.46,4.378,4.73322,3.1022
2006-08-01,5.38,4.344090909,4.94425,3.2265
2006-09-01,5.34,4.3215,5.02501,3.3354
2006-10-01,5.33,4.327619048,5.13176,3.502
2006-11-01,5.32,4.312380952,5.22544,3.5972
2006-12-01,5.32,4.320588235,5.29167,3.6842
2007-01-01,5.32,4.333636364,5.48623,3.7519
2007-02-01,5.31,4.348,5.5657,3.8182
2007-03-01,5.3,4.345909091,5.54946,3.8909
2007-04-01,5.31,4.35,5.64899,3.9753
2007-05-01,5.31,4.368636364,5.76742,4.0714
2007-06-01,5.33,4.52952381,5.88018,4.1478
2007-07-01,5.32,4.68,6.02396,4.2162
2007-08-01,5.49,4.947272727,6.41946,4.5436
2007-09-01,5.46,5.119473684,6.64694,4.7417
2007-10-01,5.08,4.915,6.27014,4.6874
2007-11-01,4.97,4.767619048,6.40858,4.6385
2007-12-01,5.02,4.796315789,6.35943,4.8484
2008-01-01,3.84,4.246363636,5.65965,4.4815
2008-02-01,3.06,3.82,5.64202,4.3621
2008-03-01,2.79,3.583,5.89929,4.5964
2008-04-01,2.85,3.457,5.91881,4.7835
2008-05-01,2.66,3.1505,5.82639,4.8574
2008-06-01,2.76,3.177647059,5.92944,4.9405
2008-07-01,2.79,3.267,5.8322,4.961
2008-08-01,2.79,3.23,5.76619,4.9652
2008-09-01,3.59,3.716666667,5.9106,5.0192
2008-10-01,4.32,3.318636364,6.13304,5.1131
2008-11-01,2.36,2.776315789,4.44684,4.2383
2008-12-01,1.77,2.344285714,3.17247,3.2926
2009-01-01,1.02,1.589047619,2.34276,2.4565
2009-02-01,1.16,1.231052632,2.09038,1.9431
2009-03-01,1.07,1.062727273,1.83139,1.6355
2009-04-01,0.89,0.898095238,1.53413,1.4223
2009-05-01,0.57,0.6365,1.35795,1.2817
2009-06-01,0.39,0.56,1.24117,1.2279
2009-07-01,0.35,0.383636364,1.00113,0.975
2009-08-01,0.3,0.4205,0.77369,0.8605
2009-09-01,0.25,0.398095238,0.6056,0.7721
2009-10-01,0.24,0.386666667,0.57087,0.7375
2009-11-01,0.21,0.3805,0.60936,0.7162
2009-12-01,0.22,0.379047619,0.60541,0.712
2010-01-01,0.2,0.38,0.61265,0.6797
2010-02-01,0.19,0.375789474,0.6331,0.6617
2010-03-01,0.23,0.385652174,0.64549,0.645
2010-04-01,0.3,0.487619048,0.65592,0.6447
2010-05-01,0.45,0.6035,0.69713,0.6865
2010-06-01,0.52,0.724090909,0.72839,0.7276
2010-07-01,0.41,0.832857143,0.73603,0.8488
2010-08-01,0.32,0.902857143,0.73296,0.8955
2010-09-01,0.28,1.114285714,0.72859,0.8805
2010-10-01,0.27,1.157,0.7384,0.9977
2010-11-01,0.27,1.167142857,0.73901,1.042
2010-12-01,0.3,1.17952381,0.74962,1.0217
2011-01-01,0.29,1.18,0.76866,1.0172
2011-02-01,0.28,1.188421053,0.79962,1.0867
2011-03-01,0.28,1.183913043,0.80913,1.1755
2011-04-01,0.23,1.184,0.82096,1.3212
2011-05-01,0.21,1.187142857,0.82344,1.4251
2011-06-01,0.22,1.169545455,0.82512,1.4886
2011-07-01,0.24,1.17,0.8289,1.5976
2011-08-01,0.29,1.151818182,0.85782,1.5521
2011-09-01,0.33,1.15,0.9181,1.5365
2011-10-01,0.37,1.1515,0.96991,1.5759
2011-11-01,0.41,1.15952381,1.01182,1.4847
2011-12-01,0.49,1.156,1.06148,1.4261
2012-01-01,0.4,1.158571429,1.08709,1.2222
2012-02-01,0.3,1.16,1.07249,1.0483
2012-03-01,0.29,1.152272727,1.03757,0.8585
2012-04-01,0.29,1.147,1.01792,0.7443
2012-05-01,0.29,1.179545455,1.005,0.6849
2012-06-01,0.32,1.160952381,0.94978,0.6589
2012-07-01,0.3,1.16,0.81735,0.497
2012-08-01,0.26,1.16,0.70481,0.3324
2012-09-01,0.24,1.16,0.64803,0.2463
2012-10-01,0.23,1.16,0.54397,0.2079
2012-11-01,0.23,1.16,0.52452,0.192
2012-12-01,0.24,1.16,0.51848,0.1855
2013-01-01,0.23,1.16,0.51228,0.2049
2013-02-01,0.22,1.16,0.50988,0.2234
2013-03-01,0.21,1.16,0.50688,0.2061
2013-04-01,0.2,1.16,0.50557,0.2089
2013-05-01,0.2,1.16,0.50563,0.2012
2013-06-01,0.19,1.162,0.50794,0.2103
2013-07-01,0.14,1.167272727,0.50944,0.2214
2013-08-01,0.12,1.17,0.51262,0.2259
2013-09-01,0.11,1.168,0.51688,0.2232
2013-10-01,0.12,1.166818182,0.51663,0.2258
2013-11-01,0.12,1.17,0.52344,0.2234
2013-12-01,0.14,1.169,0.52474,0.2735
2014-01-01,0.12,1.17,0.52093,0.292
2014-02-01,0.13,1.17,0.52153,0.2881
2014-03-01,0.12,1.17,0.52157,0.3053
2014-04-01,0.12,1.17,0.52665,0.3297
2014-05-01,0.11,1.177619048,0.52744,0.3246
2014-06-01,0.11,1.174285714,0.54394,0.2414
2014-07-01,0.13,1.17,0.55641,0.205
2014-08-01,0.13,1.17,0.56119,0.1916
2014-09-01,0.12,1.17,0.56291,0.0971
2014-10-01,0.12,1.17,0.55836,0.0826
2014-11-01,0.13,1.175263158,0.55628,0.0809
2014-12-01,0.15,1.188571429,0.55818,0.0809
2015-01-01,0.16,1.122857143,0.5626,0.0627
2015-02-01,0.15,0.886315789,0.56363,0.0482
2015-03-01,0.14,0.893636364,0.56436,0.0272
2015-04-01,0.13,0.896190476,0.5695,0.0047
2015-05-01,0.15,0.89,0.56798,-0.0104
2015-06-01,0.18,0.89,0.57188,-0.0139
2015-07-01,0.19,0.740454545,0.58084,-0.0187
2015-08-01,0.26,0.61,0.5867,-0.0277
2015-09-01,0.27,0.651904762,0.58576,-0.037
2015-10-01,0.25,0.714761905,0.58006,-0.0536
2015-11-01,0.3,0.7585,0.57371,-0.0876
2015-12-01,0.54,0.817142857,0.58277,-0.1263
2016-01-01,0.57,0.7965,0.58976,-0.1461
2016-02-01,0.54,0.799,0.59073,-0.1836
2016-03-01,0.55,0.8,0.58825,-0.2285
2016-04-01,0.55,0.836190476,0.5889,-0.2492
2016-05-01,0.57,0.836666667,0.58929,-0.2572
2016-06-01,0.55,0.827727273,0.57468,-0.2679
2016-07-01,0.62,0.8105,0.5136,-0.2945
2016-08-01,0.73,0.82,0.40613,-0.2982
2016-09-01,0.75,0.810952381,0.37907,-0.3016
2016-10-01,0.72,0.816,0.3975,-0.309
2016-11-01,0.71,0.82,0.39773,-0.3127
2016-12-01,0.87,0.823,0.37226,-0.3158
2017-01-01,0.9,0.872380952,0.3621,-0.3255
2017-02-01,0.87,0.876842105,0.35674,-0.3286
2017-03-01,0.98,0.845652174,0.34567,-0.3293
2017-04-01,1.03,0.843157895,0.33513,-0.3304
2017-05-01,1.05,0.797727273,0.31081,-0.3295
2017-06-01,1.16,0.828636364,0.29442,-0.33
2017-07-01,1.22,1.123,0.2931,-0.3304
2017-08-01,1.25,1.198636364,0.28119,-0.3291
2017-09-01,1.25,1.321,0.30911,-0.3294
2017-10-01,1.26,1.329047619,0.38187,-0.3295
2017-11-01,1.32,1.328095238,0.51857,-0.329
2017-12-01,1.54,1.372105263,0.51871,-0.3279
2018-01-01,1.63,1.552727273,0.5225,-0.3285
2018-02-01,1.78,1.547894737,0.54683,-0.3285
2018-03-01,2.08,1.596190476,0.62842,-0.3279
2018-04-01,2.2,1.639047619,0.75629,-0.3285
2018-05-01,2.16,1.65,0.64355,-0.3252
2018-06-01,2.19,1.65,0.63868,-0.322
2018-07-01,2.17,1.796190476,0.74619,-0.3207
2018-08-01,2.19,1.842727273,0.80519,-0.319
2018-09-01,2.24,1.874736842,0.80093,-0.3188
2018-10-01,2.37,2.013181818,0.80618,-0.3177
2018-11-01,2.56,2.131904762,0.87483,-0.3164
2018-12-01,2.69,2.192631579,0.90444,-0.3119
2019-01-01,2.59,2.142984091,0.91822,-0.308
2019-02-01,2.49,1.988762632,0.87598,-0.3084
2019-03-01,2.48,1.862237619,0.84,-0.3092
2019-04-01,2.47,1.863494286,0.82,-0.3105
2019-05-01,2.44,1.872109545,0.8,-0.3119
2019-06-01,2.3,1.8421995,0.78,-0.3289
2019-07-01,2.22,1.839895455,0.77,-0.3649
2019-08-01,2.06,1.840029048,0.76,-0.4077
2019-09-01,2.03,1.8327845,0.77,-0.4176
2019-10-01,1.88,1.844795,0.78,-0.4129
2019-11-01,1.77,1.845125,0.79,-0.4013
2019-12-01,1.76,1.9093095,0.79,-0.3947
2020-01-01,1.65,1.912473636,0.74,-0.3911
2020-02-01,1.59,1.802298421,0.75,-0.4088
2020-03-01,1.35,1.267285455,0.53,-0.4166
2020-05-01,0.17,0.344752,0.33,-0.272
2020-06-01,0.2,0.305564091,0.19,-0.376
